"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"89",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other R&D and Knowledge Based","Navy","YOUNG",0.311855843459423,NA
"90",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other R&D and Knowledge Based","Air Force","YOUNG",0.167708756830172,NA
"91",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other R&D and Knowledge Based","DLA","YOUNG",0.0088845673588506,0.00627363827016443
"92",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other R&D and Knowledge Based","MDA","YOUNG",0.0022559209787855,0.00484834050949938
"93",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other R&D and Knowledge Based","Additional
DoD
Components","YOUNG",0.213666995903019,0.108949450057616
"94",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other Services","Army","YOUNG",0.0913366606465372,NA
"95",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other Services","Navy","YOUNG",0.150454963531261,NA
"96",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other Services","Air Force","YOUNG",0.267964418801212,NA
"97",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other Services","DLA","YOUNG",0.000799525973734426,NA
"98",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other Services","Military
Health","YOUNG",0,0.19282281133723
"99",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other Services","Additional
DoD
Components","YOUNG",0.0673044058367943,NA
"100",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Ships & Submarines","Army","YOUNG",0.00953633516668537,0.00468727530105067
"101",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Ships & Submarines","Navy","YOUNG",0.254560359883264,NA
"102",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Ships & Submarines","Air Force","YOUNG",0.000393822572679313,0.000872419044771842
"103",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Ships & Submarines","DLA","YOUNG",0.0361713188910091,0.0151163049031173
"104",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Ships & Submarines","Additional
DoD
Components","YOUNG",0.0049241025928836,NA
"105",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Weapons and Ammunition","Army","YOUNG",0.46806457289258,NA
"106",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Weapons and Ammunition","Navy","YOUNG",0.151351082377371,NA
"107",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Weapons and Ammunition","Air Force","YOUNG",0.0523719502301044,0.0374545416271596
"108",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Weapons and Ammunition","DLA","YOUNG",0.00597148607026602,NA
"109",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Weapons and Ammunition","Additional
DoD
Components","YOUNG",0.00113307105174543,NA
"110",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Aircraft and Drones","Army","YOUNG",0.236286288158042,0.162367166251356
"111",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Aircraft and Drones","Navy","YOUNG",0.489054016197104,0.35874349085943
"112",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Aircraft and Drones","Air Force","YOUNG",1.77976540156022,NA
"113",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Aircraft and Drones","DLA","YOUNG",0.149132188034572,0.123027096194859
"114",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Aircraft and Drones","Additional
DoD
Components","YOUNG",0.0904949278706926,NA
"115",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Electronics and Communications","Army","YOUNG",2.89246123907285,1.6390755060351
"116",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Electronics and Communications","Navy","YOUNG",2.61280956062409,1.28393064611442
"117",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Electronics and Communications","Air Force","YOUNG",1.23753621366034,0.718944272825233
"118",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Electronics and Communications","DLA","YOUNG",0.143443948580088,0.0925581959928163
"119",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Electronics and Communications","MDA","YOUNG",6.26422718599169e-05,NA
"120",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Electronics and Communications","Military
Health","YOUNG",0.000310652710741946,0.000127826437363654
"121",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Electronics and Communications","Additional
DoD
Components","YOUNG",0.636843708620496,0.368869926695851
"122",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Facilities and Construction","Army","YOUNG",7.244588091604,3.26944767383919
"123",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Facilities and Construction","Navy","YOUNG",2.48827747150073,1.10718303590751
"124",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Facilities and Construction","Air Force","YOUNG",2.53288721831855,1.02177909125229
"125",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Facilities and Construction","DLA","YOUNG",0.372723194769334,0.198362903019419
"126",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Facilities and Construction","MDA","YOUNG",0.000465046582107981,0.000238619331123802
"127",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Facilities and Construction","Military
Health","YOUNG",0.000690214423616567,0.000352050492583338
"128",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.0471937528342126,0.0203790482695402
