"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"3845",2012-10-01,2012-12-31,"Q1",2013-09-30,6.00547945205479,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.000118761908601605,0.000202201732334889
"3846",2013-05-01,2013-06-30,"Q3",2013-09-30,6.58630136986301,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.00445863321712197,0.00177287581229478
"3847",2013-10-01,2013-12-31,"Q1",2014-09-30,7.00547945205479,"Facilities and Construction","Additional
DoD
Components","YOUNG",9.17163526e-05,0.00155637049277452
"3848",2014-01-01,2014-03-31,"Q2",2014-09-30,7.25753424657534,"Facilities and Construction","Additional
DoD
Components","YOUNG",7.1533804e-06,0.00151916765004066
"3849",2014-04-01,2014-06-30,"Q3",2014-09-30,7.5041095890411,"Facilities and Construction","Additional
DoD
Components","YOUNG",-5.723e-08,3.2937501e-05
"3850",2014-06-01,2014-06-30,"Q3",2014-09-30,7.67123287671233,"Facilities and Construction","Additional
DoD
Components","YOUNG",-5.7034e-05,-1.66459498666667e-05
"3851",2014-08-01,2014-09-30,"Q4",2014-09-30,7.83835616438356,"Facilities and Construction","Additional
DoD
Components","YOUNG",-0.0006765502964,-0.000244547175466667
"3852",2013-11-01,2013-12-31,"Q1",2014-09-30,7.09041095890411,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.0002225548069,-0.000170343163166667
"3853",2013-12-01,2013-12-31,"Q1",2014-09-30,7.17260273972603,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.000269402585,-6.15309681666667e-05
"3854",2014-03-01,2014-03-31,"Q2",2014-09-30,7.41917808219178,"Facilities and Construction","Additional
DoD
Components","YOUNG",-0.0001037934328,0.000129387986366667
"3855",2014-07-01,2014-09-30,"Q4",2014-09-30,7.75342465753425,"Facilities and Construction","Additional
DoD
Components","YOUNG",-0.0001738698633,-2.75357036666666e-06
"3856",2009-05-01,2009-06-30,"Q3",2009-09-30,0.580821917808219,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00327182256982031,NA
"3857",2009-06-01,2009-06-30,"Q3",2009-09-30,0.665753424657534,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0204141244966443,NA
"3858",2009-08-01,2009-09-30,"Q4",2009-09-30,0.832876712328767,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0195996062892401,0.0144285177852349
"3859",2009-09-01,2009-09-30,"Q4",2009-09-30,0.917808219178082,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.128106796460273,0.0560401757487191
