"","SignedMonth","Vendor.Size.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"192",2007-10-01,"Large","Navy","YOUNG",2.23769850328633,1.81447110340397
"193",2007-11-01,"Large","Navy","YOUNG",0.365939614598698,1.67998139771908
"194",2007-12-01,"Large","Navy","YOUNG",1.83921473761388,1.48095095183297
"195",2008-01-01,"Large","Navy","YOUNG",0.671870535531453,0.959008295914678
"196",2008-02-01,"Large","Navy","YOUNG",1.79451760218004,1.43520095844179
"197",2008-03-01,"Large","Navy","YOUNG",3.00357508182213,1.82332107317787
"198",2008-04-01,"Large","Navy","YOUNG",1.18886130059653,1.99565132819957
"199",2008-05-01,"Large","Navy","YOUNG",0.963099517136659,1.71851196651844
"200",2008-06-01,"Large","Navy","YOUNG",0.730160854381779,0.960707224038322
"201",2008-07-01,"Large","Navy","YOUNG",0.779231577234273,0.82416398291757
"202",2008-08-01,"Large","Navy","YOUNG",1.61715533464208,1.04218258875271
"203",2008-09-01,"Large","Navy","YOUNG",3.72802293143167,2.04146994776934
"204",2008-10-01,"Large","Navy","YOUNG",1.30573698014722,2.21697174874032
"205",2008-11-01,"Large","Navy","YOUNG",0.911919780060619,1.9818932305465
"206",2008-12-01,"Large","Navy","YOUNG",2.10012226848885,1.43925967623223
"207",2009-01-01,"Large","Navy","YOUNG",0.816657292693224,1.27623311374756
"208",2009-02-01,"Large","Navy","YOUNG",0.81075080961247,1.24251012359818
"209",2009-03-01,"Large","Navy","YOUNG",1.58119673156527,1.06953494462366
"210",2009-04-01,"Large","Navy","YOUNG",0.863994898765967,1.0853141466479
"211",2009-05-01,"Large","Navy","YOUNG",0.337609477592552,0.927600369307931
"212",2009-06-01,"Large","Navy","YOUNG",0.296359933232301,0.499321436530273
"213",2009-07-01,"Large","Navy","YOUNG",0.474956099545356,0.36964183679007
"214",2009-08-01,"Large","Navy","YOUNG",0.248494834271487,0.339936955683048
"215",2009-09-01,"Large","Navy","YOUNG",0.707256535234899,0.476902489683914
"216",2009-10-01,"Large","Navy","YOUNG",0.418901328070175,0.458217565858854
"217",2009-11-01,"Large","Navy","YOUNG",0.293768305209671,0.473308722838248
"218",2009-12-01,"Large","Navy","YOUNG",0.365256780712452,0.359308804664099
"219",2010-01-01,"Large","Navy","YOUNG",0.606803269929397,0.42194278528384
"220",2010-02-01,"Large","Navy","YOUNG",0.254767137312794,0.408942395984881
"221",2010-03-01,"Large","Navy","YOUNG",0.292664825278134,0.384745077506775
"222",2010-04-01,"Large","Navy","YOUNG",0.294322553508772,0.2805848386999
"223",2010-05-01,"Large","Navy","YOUNG",0.162794225566966,0.249927201451291
"224",2010-06-01,"Large","Navy","YOUNG",0.178589581033376,0.211902120036371
"225",2010-07-01,"Large","Navy","YOUNG",0.114486725438597,0.15195684401298
"226",2010-08-01,"Large","Navy","YOUNG",0.194714408675653,0.162596905049208
"227",2010-09-01,"Large","Navy","YOUNG",0.36804632389816,0.225749152670803
"228",2010-10-01,"Large","Navy","YOUNG",0.25220395536089,0.271654895978234
"229",2010-11-01,"Large","Navy","YOUNG",0.206374888239614,0.275541722499554
