"","Fiscal.Year","SinceFirstFiscalYear","Vehicle.sum","SubCustomer.component","ATLpolicy","Obligation.2014"
"215",2008-09-30,1.16712328767123,"Definitive","MDA","YOUNG",0.0730329229934924
"216",2008-09-30,1.16712328767123,"Definitive","Additional
DoD
Components","YOUNG",0.107826790509761
"217",2008-09-30,1.16712328767123,"FSS","Army","YOUNG",0.121411152266811
"218",2008-09-30,1.16712328767123,"FSS","Navy","YOUNG",0.0800519925813449
"219",2008-09-30,1.16712328767123,"FSS","Air Force","YOUNG",0.0558251565943601
"220",2008-09-30,1.16712328767123,"FSS","DLA","YOUNG",0.0158540199240781
"221",2008-09-30,1.16712328767123,"FSS","MDA","YOUNG",0.00419127006507592
"222",2008-09-30,1.16712328767123,"FSS","Military
Health","YOUNG",0.000360631236442516
"223",2008-09-30,1.16712328767123,"FSS","Additional
DoD
Components","YOUNG",0.0306723221149675
"224",2008-09-30,1.16712328767123,"Multi-Awd.","Army","YOUNG",1.06823527579176
"225",2008-09-30,1.16712328767123,"Multi-Awd.","Navy","YOUNG",0.187928227895879
"226",2008-09-30,1.16712328767123,"Multi-Awd.","Air Force","YOUNG",0.282699613004338
"227",2008-09-30,1.16712328767123,"Multi-Awd.","DLA","YOUNG",0.0798510321800434
"228",2008-09-30,1.16712328767123,"Multi-Awd.","Additional
DoD
Components","YOUNG",0.440233364826464
"229",2008-09-30,1.16712328767123,"Other IDV","Army","YOUNG",0.00874566594360087
"230",2008-09-30,1.16712328767123,"Other IDV","Navy","YOUNG",0.0246068609219089
"231",2008-09-30,1.16712328767123,"Other IDV","Air Force","YOUNG",0.00377964960954447
"232",2008-09-30,1.16712328767123,"Other IDV","DLA","YOUNG",0.00160619721258134
"233",2008-09-30,1.16712328767123,"Other IDV","Additional
DoD
Components","YOUNG",0.00895983661605206
"234",2008-09-30,1.16712328767123,"Pur. Order","Army","YOUNG",0.300552670563991
"235",2008-09-30,1.16712328767123,"Pur. Order","Navy","YOUNG",0.0836607239479393
"236",2008-09-30,1.16712328767123,"Pur. Order","Air Force","YOUNG",0.0423926018655098
"237",2008-09-30,1.16712328767123,"Pur. Order","DLA","YOUNG",0.195520354609544
"238",2008-09-30,1.16712328767123,"Pur. Order","MDA","YOUNG",2.79208242950108e-05
"239",2008-09-30,1.16712328767123,"Pur. Order","Military
Health","YOUNG",5.36876355748373e-06
